index,angle_q214_signed,sin_q214_signed,cos_q214_signed,cycle
322,-14923,-12940,10042,465
323,-12892,-11604,11568,466
324,-20445,-15534,5198,467
325,14418,12630,10435,468
326,19772,15311,5829,469
327,-4819,-4748,15678,471
328,6211,6061,15222,472
329,-17781,-14490,7644,473
330,22127,15988,3578,475
331,18767,14925,6757,477
332,24511,16340,1222,480
333,15996,13572,9174,481
334,19632,15258,5963,484
335,-24460,-16331,1273,486
336,12176,11084,12065,487
337,-8638,-8240,14157,490
338,22175,15996,3534,491
339,15557,13321,9537,493
340,18739,14911,6785,494
341,15995,13570,9178,496
342,-12003,-10958,12183,497
343,14792,12862,10147,498
344,-20172,-15447,5456,499
345,19156,15080,6405,500
346,18457,14792,7042,501
347,-14287,-12547,10541,502
348,16295,13735,8930,504
349,-2043,-2040,16259,505
350,-10027,-9413,13406,506
351,15202,13111,9821,507
352,-14021,-12372,10739,508
353,-24518,-16340,1217,509
354,-15795,-13458,9342,510
355,-8840,-8413,14056,511
356,18754,14919,6769,512
357,24032,16293,1702,513
358,-11369,-10477,12598,514
359,7282,7048,14788,515
360,-5164,-5075,15574,516
361,24766,16355,968,517
362,1864,1864,16276,518
363,22608,16087,3107,519
364,-19799,-15321,5808,520
365,24212,16311,1526,521
366,-16545,-13876,8717,523
367,23807,16268,1928,524
368,-12072,-11006,12133,525
369,-20156,-15443,5472,526
370,-3368,-3347,16041,528
371,11764,10778,12342,532
372,-9590,-9054,13656,534
373,5467,5367,15477,535
374,588,590,16372,537
375,-5909,-5782,15332,538
376,3942,3908,15909,540
377,-12625,-11411,11755,541
378,10747,9988,12987,542
379,-25649,-16383,87,543
380,21905,15937,3798,544
381,1979,1974,16264,545
382,11294,10417,12644,548
383,12454,11289,11875,549
384,8783,8361,14088,550
385,-6989,-6776,14914,551
386,-22134,-15987,3571,553
387,8454,8079,14252,554
388,-8740,-8328,14107,555
389,-9578,-9044,13662,556
390,17913,14554,7527,558
391,11311,10429,12634,559
392,-10278,-9617,13261,560
393,-9816,-9241,13530,563
394,-4715,-4650,15710,565
395,-5024,-4946,15619,568
396,-10518,-9811,13120,569
397,-19184,-15092,6378,572
398,-4095,-4058,15877,574
399,22666,16098,3051,575
400,9127,8658,13909,577
401,20733,15626,4924,578
402,5946,5815,15315,579
403,-10245,-9593,13283,581
404,2467,2461,16197,583
405,-25715,-16383,21,585
406,-10968,-10167,12847,586
407,-3609,-3579,15989,588
408,4117,4074,15870,589
409,7963,7651,14488,590
410,-1802,-1802,16287,591
411,-2977,-2965,16117,592
412,-14736,-12830,10194,593
413,-1380,-1384,16328,594
414,20650,15604,4998,596
415,15237,13131,9793,597
416,-17002,-14112,8326,600
417,-21371,-15805,4313,601
418,795,796,16363,602
419,6843,6645,14976,603
420,-8483,-8106,14237,605
421,16390,13785,8850,606
422,12927,11630,11539,607
423,8894,8460,14031,609
424,-14173,-12471,10625,611
425,-15486,-13281,9596,613
426,-24479,-16338,1257,614
427,-13133,-11768,11394,615
428,-1280,-1280,16334,616
429,18002,14593,7448,617
430,-21987,-15954,3717,619
431,-4404,-4350,15796,621
432,6679,6495,15042,624
433,-15728,-13420,9398,626
434,10107,9475,13365,628
435,-289,-290,16383,629
436,-13178,-11802,11364,630
437,8033,7715,14452,632
438,-25451,-16378,285,633
439,12918,11624,11545,634
440,13900,12290,10838,638
441,-20250,-15473,5380,640
442,-3853,-3816,15934,641
443,-16683,-13945,8599,642
444,23572,16240,2160,643
445,924,926,16357,644
446,-23151,-16181,2574,645
447,-12909,-11614,11556,646
448,17930,14560,7513,647
449,-2241,-2238,16233,649
450,15514,13297,9571,651
451,8626,8231,14166,653
452,25113,16372,620,654
453,4913,4838,15652,655
454,23164,16183,2561,656
455,20147,15437,5481,658
456,5798,5679,15367,659
457,11286,10411,12650,660
458,246,254,16378,661
459,17015,14118,8315,662
460,2464,2461,16197,663
461,20445,15534,5201,665
462,12541,11353,11814,666
463,-1304,-1304,16332,668
464,-12395,-11247,11917,670
465,-13010,-11686,11484,671
466,7086,6865,14877,672
467,13682,12150,10992,673
468,1096,1096,16348,674
469,6524,6353,15102,675
470,-11602,-10654,12444,676
471,-21748,-15901,3949,677
472,-11029,-10217,12811,678
473,-11750,-10766,12349,679
474,-9280,-8787,13821,680
475,2067,2064,16253,681
476,-18614,-14859,6899,682
477,-13832,-12246,10883,683
478,9983,9377,13434,684
479,10625,9896,13055,686
480,-22430,-16048,3281,687
481,-4756,-4688,15696,688
482,2193,2190,16236,689
483,-4335,-4288,15818,693
484,-15090,-13045,9913,694
485,-4110,-4066,15869,695
486,20838,15656,4824,696
487,4328,4280,15813,697
488,10064,9443,13387,698
489,18362,14754,7126,700
490,13671,12142,11002,702
491,-6157,-6010,15241,703
492,-25432,-16378,303,704
493,-7630,-7355,14638,705
494,13047,11712,11455,706
495,18193,14677,7278,707
496,23339,16209,2387,711
497,-4168,-4124,15856,713
498,12740,11493,11676,714
499,2375,2367,16211,715
